# EUR/XXX Exchange Rates
# Source: Statistical Data Warehouse of the European Central Bank System
# https://www.ecb.europa.eu/stats/policy_and_exchange_rates/
# (provided free of charge)
"USD","JPY","BGN","CYP","CZK","DKK","EEK","GBP","HUF","LTL","LVL","MTL","PLN","ROL","RON","SEK","SIT","SKK","CHF","ISK","NOK","HRK","RUB","TRL","TRY","AUD","BRL","CAD","CNY","HKD","IDR","ILS","INR","KRW","MXN","MYR","NZD","PHP","SGD","THB","ZAR"
1.0801,120.96,1.9558,NA,25.061,7.4702,NA,0.8351,337.1,NA,NA,NA,4.2835,NA,4.804,10.569,NA,NA,1.061,138.3,10.0873,7.449,69.548,NA,6.6131,1.6363,4.755,1.432,7.5945,8.4117,14867.58,3.6985,77.754,1309.45,20.5183,4.5294,1.7104,54.955,1.5131,34.164,16.2965
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0818,120.52,1.9558,NA,25.186,7.4699,NA,0.83833,337.61,NA,NA,NA,4.2989,NA,4.8063,10.5833,NA,NA,1.06,139.3,10.1328,7.465,70.6675,NA,6.6599,1.6384,4.7474,1.4372,7.6102,8.4324,15098.95,3.7208,77.8265,1319.2,20.7234,4.5728,1.7095,55.248,1.5164,34.336,16.3592
1.084,119.92,1.9558,NA,25.226,7.4701,NA,0.8363,337.41,NA,NA,NA,4.3012,NA,4.8098,10.5688,NA,NA,1.0605,139.3,10.16,7.4567,70.7943,NA,6.6688,1.6442,4.7569,1.4403,7.6045,8.4445,15094.7,3.7158,77.724,1315.68,20.6185,4.5886,1.716,55.36,1.5166,34.39,16.4649
1.0875,120.13,1.9558,NA,25.344,7.471,NA,0.8415,339.28,NA,NA,NA,4.3094,NA,4.805,10.5813,NA,NA,1.0606,139.3,10.2113,7.4605,71.2368,NA,6.6981,1.6565,4.7741,1.4469,7.6329,8.4742,15221.86,3.7429,77.9195,1322.29,20.806,4.5952,1.7273,55.538,1.5204,34.664,16.4555
1.0964,120.46,1.9558,NA,25.283,7.4725,NA,0.84995,338.37,NA,NA,NA,4.3124,NA,4.81,10.5753,NA,NA,1.0627,139.3,10.2918,7.4625,72.1052,NA,6.7538,1.6672,4.8975,1.4636,7.6813,8.5456,15387.97,3.7671,78.538,1327.83,21.2601,4.6164,1.7326,55.767,1.5294,34.701,16.842
1.0977,119.36,1.9558,NA,25.39,7.4723,NA,0.85315,337.57,NA,NA,NA,4.3259,NA,4.813,10.6738,NA,NA,1.0614,139.3,10.3888,7.4695,73.6096,NA,6.8348,1.6875,4.9232,1.4757,7.6662,8.555,15749.25,3.8052,79.285,1324.98,21.637,4.6263,1.7608,56.027,1.5317,34.632,17.0961
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1122,119.82,1.9558,NA,25.525,7.473,NA,0.87113,336.92,NA,NA,NA,4.3276,NA,4.8106,10.6063,NA,NA,1.0655,141.7,10.4043,7.4835,74.56,NA,6.9253,1.6998,4.9938,1.4857,7.7469,8.6525,15909.41,3.8826,80.917,1325.85,21.9963,4.6751,1.7738,56.511,1.5449,34.968,17.4202
1.1117,119.77,1.9558,NA,25.475,7.473,NA,0.8701,336.68,NA,NA,NA,4.3166,NA,4.8087,10.559,NA,NA,1.0646,142.9,10.3328,7.4853,74.005,NA,6.8626,1.6911,5.0032,1.4857,7.7572,8.6471,15877,3.847,81.429,1327.59,21.6599,4.6758,1.7728,56.467,1.5479,35.063,17.3245
1.1125,119.58,1.9558,NA,25.34,7.4727,NA,0.8685,334.96,NA,NA,NA,4.2968,NA,4.8073,10.5555,NA,NA,1.0647,142.2,10.3051,7.4848,73.218,NA,6.7828,1.6794,5.0146,1.4862,7.7014,8.6437,15702.94,3.8451,81.5025,1314.96,21.4105,4.6491,1.7667,56.288,1.54,34.866,16.9784
1.1187,119.63,1.9558,NA,25.346,7.4712,NA,0.8667,335.7,NA,NA,NA,4.3029,NA,4.811,10.5915,NA,NA,1.0663,142.2,10.371,7.4905,74.307,NA,6.8038,1.6917,5.148,1.5021,7.7579,8.6936,15851.98,3.8814,82.153,1327.01,22.0737,4.6532,1.7744,56.785,1.5495,35.295,17.2746
1.1336,119.08,1.9558,NA,25.458,7.4697,NA,0.87165,335.48,NA,NA,NA,4.3042,NA,4.811,10.6145,NA,NA,1.0589,143,10.4983,7.5035,77.5058,NA,6.9209,1.7103,5.2748,1.5213,7.8511,8.8089,16558.49,3.9576,83.586,1351.63,22.9958,4.7294,1.7858,57.542,1.563,35.64,17.8514
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1456,117.12,1.9558,NA,25.504,7.4695,NA,0.87383,336.25,NA,NA,NA,4.3132,NA,4.8175,10.7203,NA,NA,1.0594,145,10.89,7.55,85.1553,NA,7.0002,1.733,5.4418,1.5613,7.96,8.9041,16488.05,4.0275,84.96,1374.71,24.3268,4.8304,1.8021,58.013,1.5841,36.081,18.2898
1.139,118.65,1.9558,NA,25.725,7.4714,NA,0.87385,336.2,NA,NA,NA,4.326,NA,4.8178,10.8015,NA,NA,1.0594,145.3,10.8433,7.5425,81.5975,NA,6.9884,1.7377,5.3243,1.5579,7.924,8.8496,16282,4.0147,84.11,1357.12,23.8739,4.8265,1.8006,57.537,1.5817,35.809,18.1596
1.1336,118.55,1.9558,NA,25.77,7.4726,NA,0.8769,335.46,NA,NA,NA,4.318,NA,4.8213,10.7238,NA,NA,1.0591,145.7,10.8558,7.5745,81.3785,NA,7.0236,1.7389,5.2874,1.5579,7.8801,8.8071,16269.99,4.0316,83.5215,1348.07,23.9025,4.8002,1.7951,57.383,1.5741,35.584,18.21
1.124,116.84,1.9558,NA,26.203,7.4727,NA,0.88623,338.37,NA,NA,NA,4.3599,NA,4.8213,10.8945,NA,NA,1.0549,148.64,11.3682,7.6,84.0284,NA,7.0361,1.7674,5.5081,1.5524,7.8877,8.7466,16434,4.0909,83.468,1359.4,24.8028,4.7944,1.8173,57.645,1.5779,35.586,18.4447
1.1104,119.11,1.9558,NA,26.042,7.4732,NA,0.8907,338.88,NA,NA,NA,4.357,NA,4.8213,10.8453,NA,NA,1.0608,150,11.0966,7.563,80.7385,NA,6.985,1.7684,5.2042,1.5389,7.7587,8.6255,16400.61,4.0867,81.8765,1341.38,23.7835,4.7508,1.812,56.453,1.5684,35.244,17.9235
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
