# BTC-USD Exchange Rates for 2021
# Based on https://api.bitcoincharts.com/v1/csv/
Date,Open,High,Low,Close,Volume
2021-10-18,61548.805,62614.66,60012.758,62026.078,38055562075
2021-10-19,62043.164,64434.535,61622.934,64261.992,40471196346
2021-10-20,64284.586,66930.391,63610.676,65992.836,40788955582
2021-10-21,66002.234,66600.547,62117.41,62210.172,45908121370
2021-10-22,62237.891,63715.023,60122.797,60692.266,38434082775
2021-10-23,60694.629,61743.879,59826.523,61393.617,26882546034
2021-10-24,61368.344,61505.805,59643.344,60930.836,27316183882
2021-10-25,60893.926,63729.324,60691.801,63039.824,31064911614
2021-10-26,63032.762,63229.027,59991.16,60363.793,34878965587
2021-10-27,60352.0,61435.184,58208.188,58482.387,43657076893
2021-10-28,58470.73,62128.633,58206.918,60622.137,45257083247
2021-10-29,60624.871,62927.609,60329.965,62227.965,36856881767
2021-10-30,62239.363,62330.145,60918.387,61888.832,32157938616
2021-10-31,61850.488,62406.172,60074.328,61318.957,32241199927
2021-11-01,61320.449,62419.004,59695.184,61004.406,36150572843
2021-11-02,60963.254,64242.793,60673.055,63226.402,37746665647
2021-11-03,63254.336,63516.938,61184.238,62970.047,36124731509
2021-11-04,62941.805,63123.289,60799.664,61452.23,32615846901
2021-11-05,61460.078,62541.469,60844.609,61125.676,30605102446
2021-11-06,61068.875,61590.684,60163.781,61527.48,29094934221
2021-11-07,61554.922,63326.988,61432.488,63326.988,24726754302
2021-11-08,63344.066,67673.742,63344.066,67566.828,41125608330
2021-11-09,67549.734,68530.336,66382.063,66971.828,42357991721
2021-11-10,66953.336,68789.625,63208.113,64995.23,48730828378
2021-11-11,64978.891,65579.016,64180.488,64949.961,35880633236
2021-11-12,64863.98,65460.816,62333.914,64155.941,36084893887
2021-11-13,64158.121,64915.676,63303.734,64469.527,30474228777
2021-11-14,64455.371,65495.18,63647.809,65466.84,25122092191
2021-11-15,65521.289,66281.57,63548.145,63557.871,30558763548
2021-11-16,63721.195,63721.195,59016.336,60161.246,46844335592
2021-11-17,60139.621,60823.609,58515.41,60368.012,39178392930
2021-11-18,60360.137,60948.5,56550.793,56942.137,41388338699
2021-11-19,56896.129,58351.113,55705.18,58119.578,38702407772
2021-11-20,58115.082,59859.879,57469.727,59697.195,30624264863
2021-11-21,59730.508,60004.426,58618.93,58730.477,26123447605
2021-11-22,58706.848,59266.359,55679.84,56289.289,35036121783
2021-11-23,56304.555,57875.516,55632.762,57569.074,37485803899
2021-11-24,57565.852,57803.066,55964.223,56280.426,36635566789
2021-11-25,57165.418,59367.969,57146.684,57274.68,34284016248
2021-11-26,58960.285,59183.48,53569.766,53569.766,41810748221
2021-11-27,53736.43,55329.258,53668.355,54815.078,30560857714
2021-11-28,54813.023,57393.844,53576.734,57248.457,28116886357
2021-11-29,57291.906,58872.879,56792.527,57806.566,32370840356
2021-11-30,57830.113,59113.402,56057.281,57005.426,36708594618
2021-12-01,56907.965,59041.684,56553.082,57229.828,36858195307
2021-12-02,57217.371,57349.234,55895.133,56477.816,32379968686
2021-12-03,56509.164,57482.168,52496.586,53598.246,39789134215
2021-12-04,53727.879,53904.68,42874.617,49200.703,61385677469
2021-12-05,49201.52,49768.148,47857.496,49368.848,37198201161
2021-12-06,49413.48,50929.52,47281.035,50582.625,37707308001
2021-12-07,50581.828,51934.781,50175.809,50700.086,33676814852
2021-12-08,50667.648,51171.375,48765.988,50504.797,28479699446
2021-12-09,50450.082,50797.164,47358.352,47672.121,29603577251
2021-12-10,47642.145,50015.254,47023.699,47243.305,30966005122
2021-12-11,47264.633,49458.211,46942.348,49362.508,25775869261
2021-12-12,49354.855,50724.867,48725.852,50098.336,21939223599
2021-12-13,50114.742,50205.0,45894.848,46737.48,32166727776
2021-12-14,46709.824,48431.398,46424.496,46612.633,34638619079
2021-12-15,48379.754,49473.957,46671.965,48896.723,36541828520
2021-12-16,48900.465,49425.574,47529.879,47665.426,27268150947
2021-12-17,47653.73,48004.895,45618.215,46202.145,32902725329
2021-12-18,46219.254,47313.828,45598.441,46848.777,26098292690
2021-12-19,46853.867,48089.664,46502.953,46707.016,25154053861
2021-12-20,46707.063,47401.719,45579.809,46880.277,30961902129
2021-12-21,46886.078,49300.918,46698.773,48936.613,27055803928
2021-12-22,48937.098,49544.797,48450.941,48628.512,24447979559
2021-12-23,48626.344,51332.34,48065.836,50784.539,28223878108
2021-12-24,50806.051,51814.027,50514.496,50822.195,24367912228
2021-12-25,50854.918,51176.598,50236.707,50429.859,19030650914
2021-12-26,50428.691,51196.379,49623.105,50809.516,20964372926
2021-12-27,50802.609,51956.328,50499.469,50640.418,24324345758
2021-12-28,50679.859,50679.859,47414.211,47588.855,33430376883
2021-12-29,47623.871,48119.742,46201.496,46444.711,30049226299
2021-12-30,46490.605,47879.965,46060.313,47178.125,26686491018
2021-12-31,47169.371,48472.527,45819.953,46306.445,36974172400
